Year,Month,Day,Leading_index
2002,3,5,99.37188
2002,3,6,99.37188
2002,3,7,99.37188
2002,3,8,99.37188
2002,3,9,99.37188
2002,3,10,99.37188
2002,3,11,99.37188
2002,3,12,99.37188
2002,3,13,99.37188
2002,3,14,99.37188
2002,3,15,99.37188
2002,3,16,99.37188
2002,3,17,99.37188
2002,3,18,99.37188
2002,3,19,99.37188
2002,3,20,99.37188
2002,3,21,99.37188
2002,3,22,99.37188
2002,3,23,99.37188
2002,3,24,99.37188
2002,3,25,99.37188
2002,3,26,99.37188
2002,3,27,99.37188
2002,3,28,99.37188
2002,3,29,99.37188
2002,3,30,99.37188
2002,3,31,99.37188
2002,4,1,99.46398
2002,4,2,99.46398
2002,4,3,99.46398
2002,4,4,99.46398
2002,4,5,99.46398
2002,4,6,99.46398
2002,4,7,99.46398
2002,4,8,99.46398
2002,4,9,99.46398
2002,4,10,99.46398
2002,4,11,99.46398
2002,4,12,99.46398
2002,4,13,99.46398
2002,4,14,99.46398
2002,4,15,99.46398
2002,4,16,99.46398
2002,4,17,99.46398
2002,4,18,99.46398
2002,4,19,99.46398
2002,4,20,99.46398
2002,4,21,99.46398
2002,4,22,99.46398
2002,4,23,99.46398
2002,4,24,99.46398
2002,4,25,99.46398
2002,4,26,99.46398
2002,4,27,99.46398
2002,4,28,99.46398
2002,4,29,99.46398
2002,4,30,99.46398
2002,5,1,99.40781
2002,5,2,99.40781
2002,5,3,99.40781
2002,5,4,99.40781
2002,5,5,99.40781
2002,5,6,99.40781
2002,5,7,99.40781
2002,5,8,99.40781
2002,5,9,99.40781
2002,5,10,99.40781
2002,5,11,99.40781
2002,5,12,99.40781
2002,5,13,99.40781
2002,5,14,99.40781
2002,5,15,99.40781
2002,5,16,99.40781
2002,5,17,99.40781
2002,5,18,99.40781
2002,5,19,99.40781
2002,5,20,99.40781
2002,5,21,99.40781
2002,5,22,99.40781
2002,5,23,99.40781
2002,5,24,99.40781
2002,5,25,99.40781
2002,5,26,99.40781
2002,5,27,99.40781
2002,5,28,99.40781
2002,5,29,99.40781
2002,5,30,99.40781
2002,5,31,99.40781
2002,6,1,99.21211
2002,6,2,99.21211
2002,6,3,99.21211
2002,6,4,99.21211
2002,6,5,99.21211
2002,6,6,99.21211
2002,6,7,99.21211
2002,6,8,99.21211
2002,6,9,99.21211
2002,6,10,99.21211
2002,6,11,99.21211
2002,6,12,99.21211
2002,6,13,99.21211
2002,6,14,99.21211
2002,6,15,99.21211
2002,6,16,99.21211
2002,6,17,99.21211
2002,6,18,99.21211
2002,6,19,99.21211
2002,6,20,99.21211
2002,6,21,99.21211
2002,6,22,99.21211
2002,6,23,99.21211
2002,6,24,99.21211
2002,6,25,99.21211
2002,6,26,99.21211
2002,6,27,99.21211
2002,6,28,99.21211
2002,6,29,99.21211
2002,6,30,99.21211
2002,7,1,98.92966
2002,7,2,98.92966
2002,7,3,98.92966
2002,7,4,98.92966
2002,7,5,98.92966
2002,7,6,98.92966
2002,7,7,98.92966
2002,7,8,98.92966
2002,7,9,98.92966
2002,7,10,98.92966
2002,7,11,98.92966
2002,7,12,98.92966
2002,7,13,98.92966
2002,7,14,98.92966
2002,7,15,98.92966
2002,7,16,98.92966
2002,7,17,98.92966
2002,7,18,98.92966
2002,7,19,98.92966
2002,7,20,98.92966
2002,7,21,98.92966
2002,7,22,98.92966
2002,7,23,98.92966
2002,7,24,98.92966
2002,7,25,98.92966
2002,7,26,98.92966
2002,7,27,98.92966
2002,7,28,98.92966
2002,7,29,98.92966
2002,7,30,98.92966
2002,7,31,98.92966
2002,8,1,98.62782
2002,8,2,98.62782
2002,8,3,98.62782
2002,8,4,98.62782
2002,8,5,98.62782
2002,8,6,98.62782
2002,8,7,98.62782
2002,8,8,98.62782
2002,8,9,98.62782
2002,8,10,98.62782
2002,8,11,98.62782
2002,8,12,98.62782
2002,8,13,98.62782
2002,8,14,98.62782
2002,8,15,98.62782
2002,8,16,98.62782
2002,8,17,98.62782
2002,8,18,98.62782
2002,8,19,98.62782
2002,8,20,98.62782
2002,8,21,98.62782
2002,8,22,98.62782
2002,8,23,98.62782
2002,8,24,98.62782
2002,8,25,98.62782
2002,8,26,98.62782
2002,8,27,98.62782
2002,8,28,98.62782
2002,8,29,98.62782
2002,8,30,98.62782
2002,8,31,98.62782
2002,9,1,98.34755
2002,9,2,98.34755
2002,9,3,98.34755
2002,9,4,98.34755
2002,9,5,98.34755
2002,9,6,98.34755
2002,9,7,98.34755
2002,9,8,98.34755
2002,9,9,98.34755
2002,9,10,98.34755
2002,9,11,98.34755
2002,9,12,98.34755
2002,9,13,98.34755
2002,9,14,98.34755
2002,9,15,98.34755
2002,9,16,98.34755
2002,9,17,98.34755
2002,9,18,98.34755
2002,9,19,98.34755
2002,9,20,98.34755
2002,9,21,98.34755
2002,9,22,98.34755
2002,9,23,98.34755
2002,9,24,98.34755
2002,9,25,98.34755
2002,9,26,98.34755
2002,9,27,98.34755
2002,9,28,98.34755
2002,9,29,98.34755
2002,9,30,98.34755
2002,10,1,98.12679
2002,10,2,98.12679
2002,10,3,98.12679
2002,10,4,98.12679
2002,10,5,98.12679
2002,10,6,98.12679
2002,10,7,98.12679
2002,10,8,98.12679
2002,10,9,98.12679
2002,10,10,98.12679
2002,10,11,98.12679
2002,10,12,98.12679
2002,10,13,98.12679
2002,10,14,98.12679
2002,10,15,98.12679
2002,10,16,98.12679
2002,10,17,98.12679
2002,10,18,98.12679
2002,10,19,98.12679
2002,10,20,98.12679
2002,10,21,98.12679
2002,10,22,98.12679
2002,10,23,98.12679
2002,10,24,98.12679
2002,10,25,98.12679
2002,10,26,98.12679
2002,10,27,98.12679
2002,10,28,98.12679
2002,10,29,98.12679
2002,10,30,98.12679
2002,10,31,98.12679
2002,11,1,97.98065
2002,11,2,97.98065
2002,11,3,97.98065
2002,11,4,97.98065
2002,11,5,97.98065
2002,11,6,97.98065
2002,11,7,97.98065
2002,11,8,97.98065
2002,11,9,97.98065
2002,11,10,97.98065
2002,11,11,97.98065
2002,11,12,97.98065
2002,11,13,97.98065
2002,11,14,97.98065
2002,11,15,97.98065
2002,11,16,97.98065
2002,11,17,97.98065
2002,11,18,97.98065
2002,11,19,97.98065
2002,11,20,97.98065
2002,11,21,97.98065
2002,11,22,97.98065
2002,11,23,97.98065
2002,11,24,97.98065
2002,11,25,97.98065
2002,11,26,97.98065
2002,11,27,97.98065
2002,11,28,97.98065
2002,11,29,97.98065
2002,11,30,97.98065
2002,12,1,97.88223
2002,12,2,97.88223
2002,12,3,97.88223
2002,12,4,97.88223
2002,12,5,97.88223
2002,12,6,97.88223
2002,12,7,97.88223
2002,12,8,97.88223
2002,12,9,97.88223
2002,12,10,97.88223
2002,12,11,97.88223
2002,12,12,97.88223
2002,12,13,97.88223
2002,12,14,97.88223
2002,12,15,97.88223
2002,12,16,97.88223
2002,12,17,97.88223
2002,12,18,97.88223
2002,12,19,97.88223
2002,12,20,97.88223
2002,12,21,97.88223
2002,12,22,97.88223
2002,12,23,97.88223
2002,12,24,97.88223
2002,12,25,97.88223
2002,12,26,97.88223
2002,12,27,97.88223
2002,12,28,97.88223
2002,12,29,97.88223
2002,12,30,97.88223
2002,12,31,97.88223
2003,1,1,97.80997
2003,1,2,97.80997
2003,1,3,97.80997
2003,1,4,97.80997
2003,1,5,97.80997
2003,1,6,97.80997
2003,1,7,97.80997
2003,1,8,97.80997
2003,1,9,97.80997
2003,1,10,97.80997
2003,1,11,97.80997
2003,1,12,97.80997
2003,1,13,97.80997
2003,1,14,97.80997
2003,1,15,97.80997
2003,1,16,97.80997
2003,1,17,97.80997
2003,1,18,97.80997
2003,1,19,97.80997
2003,1,20,97.80997
2003,1,21,97.80997
2003,1,22,97.80997
2003,1,23,97.80997
2003,1,24,97.80997
2003,1,25,97.80997
2003,1,26,97.80997
2003,1,27,97.80997
2003,1,28,97.80997
2003,1,29,97.80997
2003,1,30,97.80997
2003,1,31,97.80997
2003,2,1,97.77452
2003,2,2,97.77452
2003,2,3,97.77452
2003,2,4,97.77452
2003,2,5,97.77452
2003,2,6,97.77452
2003,2,7,97.77452
2003,2,8,97.77452
2003,2,9,97.77452
2003,2,10,97.77452
2003,2,11,97.77452
2003,2,12,97.77452
2003,2,13,97.77452
2003,2,14,97.77452
2003,2,15,97.77452
2003,2,16,97.77452
2003,2,17,97.77452
2003,2,18,97.77452
2003,2,19,97.77452
2003,2,20,97.77452
2003,2,21,97.77452
2003,2,22,97.77452
2003,2,23,97.77452
2003,2,24,97.77452
2003,2,25,97.77452
2003,2,26,97.77452
2003,2,27,97.77452
2003,2,28,97.77452
2003,3,1,97.80821
2003,3,2,97.80821
2003,3,3,97.80821
2003,3,4,97.80821
