Year,Month,Day,CPI,DfF,GDP,Leading_index,Manufacturing_PMI,Services_PMI,Unemployment_Rate,Closing price
2000,7,14,78.9707207568715,,10250952000000.0,100.5929,,,3.992,
2000,7,15,78.9707207568715,,10250952000000.0,100.5929,,,3.992,
2000,7,16,78.9707207568715,,10250952000000.0,100.5929,,,3.992,
2000,7,17,78.9707207568715,,10250952000000.0,100.5929,,,3.992,
2000,7,18,78.9707207568715,,10250952000000.0,100.5929,,,3.992,
2000,7,19,78.9707207568715,,10250952000000.0,100.5929,,,3.992,
2000,7,20,78.9707207568715,,10250952000000.0,100.5929,,,3.992,
2000,7,21,78.9707207568715,,10250952000000.0,100.5929,,,3.992,
2000,7,22,78.9707207568715,,10250952000000.0,100.5929,,,3.992,
2000,7,23,78.9707207568715,,10250952000000.0,100.5929,,,3.992,
2000,7,24,78.9707207568715,,10250952000000.0,100.5929,,,3.992,
2000,7,25,78.9707207568715,,10250952000000.0,100.5929,,,3.992,
2000,7,26,78.9707207568715,,10250952000000.0,100.5929,,,3.992,
2000,7,27,78.9707207568715,,10250952000000.0,100.5929,,,3.992,
2000,7,28,78.9707207568715,,10250952000000.0,100.5929,,,3.992,
2000,7,29,78.9707207568715,,10250952000000.0,100.5929,,,3.992,
2000,7,30,78.9707207568715,,10250952000000.0,100.5929,,,3.992,
2000,7,31,78.9707207568715,,10250952000000.0,100.5929,,,3.992,
2000,8,1,78.9707207568715,,10250952000000.0,100.3767,,,3.992,
2000,8,2,78.9707207568715,,10250952000000.0,100.3767,,,3.992,
2000,8,3,78.9707207568715,,10250952000000.0,100.3767,,,3.992,
2000,8,4,78.9707207568715,,10250952000000.0,100.3767,,,3.992,
2000,8,5,78.9707207568715,,10250952000000.0,100.3767,,,3.992,
2000,8,6,78.9707207568715,,10250952000000.0,100.3767,,,3.992,
2000,8,7,78.9707207568715,,10250952000000.0,100.3767,,,3.992,
2000,8,8,78.9707207568715,,10250952000000.0,100.3767,,,3.992,
2000,8,9,78.9707207568715,,10250952000000.0,100.3767,,,3.992,
2000,8,10,78.9707207568715,,10250952000000.0,100.3767,,,3.992,
2000,8,11,78.9707207568715,,10250952000000.0,100.3767,,,3.992,
2000,8,12,78.9707207568715,,10250952000000.0,100.3767,,,3.992,
2000,8,13,78.9707207568715,,10250952000000.0,100.3767,,,3.992,
2000,8,14,78.9707207568715,,10250952000000.0,100.3767,,,3.992,
2000,8,15,78.9707207568715,,10250952000000.0,100.3767,,,3.992,
2000,8,16,78.9707207568715,,10250952000000.0,100.3767,,,3.992,
2000,8,17,78.9707207568715,,10250952000000.0,100.3767,,,3.992,
2000,8,18,78.9707207568715,,10250952000000.0,100.3767,,,3.992,
2000,8,19,78.9707207568715,,10250952000000.0,100.3767,,,3.992,
2000,8,20,78.9707207568715,,10250952000000.0,100.3767,,,3.992,
2000,8,21,78.9707207568715,,10250952000000.0,100.3767,,,3.992,
2000,8,22,78.9707207568715,,10250952000000.0,100.3767,,,3.992,
2000,8,23,78.9707207568715,,10250952000000.0,100.3767,,,3.992,
2000,8,24,78.9707207568715,,10250952000000.0,100.3767,,,3.992,
2000,8,25,78.9707207568715,,10250952000000.0,100.3767,,,3.992,
2000,8,26,78.9707207568715,,10250952000000.0,100.3767,,,3.992,
2000,8,27,78.9707207568715,,10250952000000.0,100.3767,,,3.992,
2000,8,28,78.9707207568715,,10250952000000.0,100.3767,,,3.992,
2000,8,29,78.9707207568715,,10250952000000.0,100.3767,,,3.992,
2000,8,30,78.9707207568715,,10250952000000.0,100.3767,,,3.992,
2000,8,31,78.9707207568715,,10250952000000.0,100.3767,,,3.992,
2000,9,1,78.9707207568715,,10250952000000.0,100.1252,,,3.992,
2000,9,2,78.9707207568715,,10250952000000.0,100.1252,,,3.992,
2000,9,3,78.9707207568715,,10250952000000.0,100.1252,,,3.992,
2000,9,4,78.9707207568715,,10250952000000.0,100.1252,,,3.992,
2000,9,5,78.9707207568715,,10250952000000.0,100.1252,,,3.992,
2000,9,6,78.9707207568715,,10250952000000.0,100.1252,,,3.992,
2000,9,7,78.9707207568715,,10250952000000.0,100.1252,,,3.992,
